companyId:ID(Company),name:string,fullname:string,:LABEL
300292.SZ,吴通控股,吴通控股集团股份有限公司,Company
300295.SZ,三六五网,江苏三六五网络股份有限公司,Company
300297.SZ,蓝盾股份,蓝盾信息安全技术股份有限公司,Company
300299.SZ,富春股份,富春科技股份有限公司,Company
300300.SZ,海峡创新,海峡创新互联网股份有限公司,Company
300302.SZ,同有科技,北京同有飞骥科技股份有限公司,Company
300310.SZ,宜通世纪,宜通世纪科技股份有限公司,Company
300311.SZ,任子行,任子行网络技术股份有限公司,Company
300312.SZ,邦讯技术,邦讯技术股份有限公司,Company
300315.SZ,掌趣科技,北京掌趣科技股份有限公司,Company
300320.SZ,海达股份,江阴海达橡塑股份有限公司,Company
300322.SZ,硕贝德,惠州硕贝德无线科技股份有限公司,Company
300324.SZ,旋极信息,北京旋极信息技术股份有限公司,Company
300330.SZ,华虹计通,上海华虹计通智能系统股份有限公司,Company
300333.SZ,兆日科技,深圳兆日科技股份有限公司,Company
300339.SZ,润和软件,江苏润和软件股份有限公司,Company
300343.SZ,联创股份,山东联创产业发展集团股份有限公司,Company
300348.SZ,长亮科技,深圳市长亮科技股份有限公司,Company
300352.SZ,北信源,北京北信源软件股份有限公司,Company
300353.SZ,东土科技,北京东土科技股份有限公司,Company
300359.SZ,全通教育,全通教育集团(广东)股份有限公司,Company
300365.SZ,恒华科技,北京恒华伟业科技股份有限公司,Company
300366.SZ,创意信息,创意信息技术股份有限公司,Company
300367.SZ,ST网力,东方网力科技股份有限公司,Company
300369.SZ,绿盟科技,绿盟科技集团股份有限公司,Company
300377.SZ,赢时胜,深圳市赢时胜信息技术股份有限公司,Company
300378.SZ,鼎捷软件,鼎捷软件股份有限公司,Company
300379.SZ,东方通,北京东方通科技股份有限公司,Company
300380.SZ,安硕信息,上海安硕信息技术股份有限公司,Company
300383.SZ,光环新网,北京光环新网科技股份有限公司,Company
300386.SZ,飞天诚信,飞天诚信科技股份有限公司,Company
300387.SZ,富邦股份,湖北富邦科技股份有限公司,Company
300390.SZ,天华超净,苏州天华超净科技股份有限公司,Company
300392.SZ,腾信股份,北京腾信创新网络营销技术股份有限公司,Company
300394.SZ,天孚通信,苏州天孚光通信股份有限公司,Company
300397.SZ,天和防务,西安天和防务技术股份有限公司,Company
300398.SZ,飞凯材料,上海飞凯光电材料股份有限公司,Company
300399.SZ,京天利,北京无线天利移动信息技术股份有限公司,Company
300405.SZ,科隆股份,辽宁科隆精细化工股份有限公司,Company
300418.SZ,昆仑万维,北京昆仑万维科技股份有限公司,Company
300419.SZ,浩丰科技,北京浩丰创源科技股份有限公司,Company
300429.SZ,强力新材,常州强力电子新材料股份有限公司,Company
300437.SZ,清水源,河南清水源科技股份有限公司,Company
300440.SZ,运达科技,成都运达科技股份有限公司,Company
300446.SZ,ST乐凯,保定乐凯新材料股份有限公司,Company
300448.SZ,浩云科技,浩云科技股份有限公司,Company
300449.SZ,汉邦高科,北京汉邦高科数字技术股份有限公司,Company
600000.SH,浦发银行,上海浦东发展银行股份有限公司,Company
600015.SH,华夏银行,华夏银行股份有限公司,Company
600016.SH,民生银行,中国民生银行股份有限公司,Company
600030.SH,中信证券,中信证券股份有限公司,Company
600036.SH,招商银行,招商银行股份有限公司,Company
600048.SH,保利地产,保利发展控股集团股份有限公司,Company
600050.SH,中国联通,中国联合网络通信股份有限公司,Company
600052.SH,浙江广厦,浙江广厦股份有限公司,Company
600053.SH,九鼎投资,昆吾九鼎投资控股股份有限公司,Company
600054.SH,黄山旅游,黄山旅游发展股份有限公司,Company
600067.SH,冠城大通,冠城大通股份有限公司,Company
600075.SH,新疆天业,新疆天业股份有限公司,Company
600076.SH,康欣新材,康欣新材料股份有限公司,Company
600077.SH,宋都股份,宋都基业投资股份有限公司,Company
600078.SH,澄星股份,江苏澄星磷化工股份有限公司,Company
600082.SH,海泰发展,天津海泰科技发展股份有限公司,Company
600091.SH,ST明科,包头明天科技股份有限公司,Company
600094.SH,大名城,上海大名城企业股份有限公司,Company
600095.SH,湘财股份,湘财股份有限公司,Company
600100.SH,同方股份,同方股份有限公司,Company
600105.SH,永鼎股份,江苏永鼎股份有限公司,Company
