name,holderId:ID(Holder),:LABEL
朱启明,633,Holder
张连凤,634,Holder
朱文辉,635,Holder
关峰,636,Holder
张长虹,637,Holder
费占军,638,Holder
融捷投资控股,639,Holder
胡林,640,Holder
深圳翼威新材料,641,Holder
江苏九鼎,642,Holder
西安正威新材料,643,Holder
顾清波,644,Holder
冯伟,645,Holder
张海军,646,Holder
姜桂廷,647,Holder
潘慧铭,648,Holder
黄春芳,649,Holder
北京怀信投资基金管理,650,Holder
侯辉兰,651,Holder
周春林,652,Holder
徐建业,653,Holder
朱燕梅,654,Holder
王玉,655,Holder
龚锦娣,656,Holder
江苏伟伦投资管理,657,Holder
上海鸿孜企业发展,658,Holder
王宜明,659,Holder
福建电子信息,660,Holder
文开福,661,Holder
比亚迪,662,Holder
白如英,663,Holder
杨秀静,664,Holder
陕西国际信托,665,Holder
柏会民,666,Holder
红塔资产,667,Holder
李月琴,668,Holder
吴培生,669,Holder
吴琼瑛,670,Holder
吴兴荣,671,Holder
吴水炎,672,Holder
吴水源,673,Holder
陈家春,674,Holder
黄凯军,675,Holder
陈柏忠,676,Holder
三力士回购专用证券账户,677,Holder
舟山新能股权投资合伙企业,678,Holder
安徽大安投资管理,679,Holder
张浩,680,Holder
兴业全球基金,681,Holder
浙江舟山如山新能源投资合伙企业,682,Holder
杭州秋枫投资管理合伙企业,683,Holder
浙江青鸟旅游投资,684,Holder
诸暨永天投资,685,Holder
安徽盾安化工,686,Holder
盾安控股,687,Holder
刘海勇,688,Holder
山西新华防护器材,689,Holder
中兵投资管理,690,Holder
中国北方化学研究院,691,Holder
中国国有企业结构调整基金,692,Holder
泸州北方化学工业,693,Holder
西安北方惠安化学工业,694,Holder
黄婉如,695,Holder
王小丁,696,Holder
张贤桂,697,Holder
牟金香,698,Holder
全国社保基金五零三组合,699,Holder
张有志,700,Holder
广发银行,701,Holder
全国社保基金四零四组合,702,Holder
杨小鸥,703,Holder
陈永弟,704,Holder
深圳彩虹创业投资,705,Holder
深圳汇通正源股权投资基金合伙企业,706,Holder
中融国际信托,707,Holder
深圳华澳兴投资,708,Holder
深圳前海新旺兆投资合伙企业,709,Holder
高志兴,710,Holder
上海隆升资产管理,711,Holder
高东晟,712,Holder
李高文,713,Holder
深圳大晟资产管理,714,Holder
徐海仙,715,Holder
上海初旦金属材料,716,Holder
吴建龙,717,Holder
苏州海亮房地产,718,Holder
张洁,719,Holder
吴建新,720,Holder
许梓峰,721,Holder
周梦榧,722,Holder
深圳纵贯资本管理,723,Holder
王莺妹,724,Holder
何人宝,725,Holder
中国医化产业发展,726,Holder
浙江永太控股,727,Holder
金莺,728,Holder
曾鸿斌,729,Holder
安洪刚,730,Holder
侯毅,731,Holder
唐千军,732,Holder
王宙,733,Holder
深圳新纶科技,734,Holder
劳根洪,735,Holder
深圳前海鼎泰宏源投资合伙企业,736,Holder
深圳国能金海投资管理企业,737,Holder
马泉斌,738,Holder
深圳崇海投资,739,Holder
贺光平,740,Holder
邬敦伟,741,Holder
张云升,742,Holder
张乃蛇,743,Holder
任安增,744,Holder
邬庆文,745,Holder
邬卓,746,Holder
郑俊卿,747,Holder
白利军,748,Holder
赵贵存,749,Holder
南俊,750,Holder
王学良,751,Holder
刘志坚,752,Holder
刘琪,753,Holder
刘绍宏,754,Holder
安徽神剑新材料回购专用证券账户,755,Holder
李保才,756,Holder
王静波,757,Holder
谢仁国,758,Holder
杨三宝,759,Holder
杨朝伟,760,Holder
共青城互兴明华投资管理合伙企业,761,Holder
拉萨云房创富投资管理,762,Holder
国创高科实业,763,Holder
深圳大田投资,764,Holder
湖北长兴物资,765,Holder
严宏斌,766,Holder
沈耿亮,767,Holder
虞炳英,768,Holder
桐乡城建设投资,769,Holder
沈会民,770,Holder
