:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
002093.SZ,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.25,601288.SH,hold_stock
002151.SZ,2020-10-26,中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金,0.21,601398.SH,hold_stock
002152.SZ,2020-10-20,广州广电运通金融电子股份有限公司-第一期员工持股计划,1.03,002152.SZ,hold_stock
002153.SZ,2020-10-27,中国工商银行-易方达价值成长混合型证券投资基金,0.78,601398.SH,hold_stock
002174.SZ,2020-10-30,游族网络股份有限公司-第一期员工持股计划,1.22,002174.SZ,hold_stock
002174.SZ,2020-10-30,平安银行股份有限公司-东方红睿轩三年定期开放灵活配置混合型证券投资基金,0.78,000001.SZ,hold_stock
002180.SZ,2020-10-30,招商银行股份有限公司-睿远成长价值混合型证券投资基金,1.42,600036.SH,hold_stock
002180.SZ,2020-10-30,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.21,601988.SH,hold_stock
002194.SZ,2020-10-29,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.73,601988.SH,hold_stock
002268.SZ,2020-10-28,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.85,601939.SH,hold_stock
002268.SZ,2020-10-28,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,0.92,601939.SH,hold_stock
002281.SZ,2020-10-23,中国农业银行股份有限公司-华安智能生活混合型证券投资基金,0.86,601288.SH,hold_stock
002281.SZ,2020-10-23,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.05,601988.SH,hold_stock
002281.SZ,2020-10-23,中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金,1.24,601398.SH,hold_stock
002313.SZ,2020-10-28,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.06,601988.SH,hold_stock
002315.SZ,2020-10-30,中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金,3.57,601398.SH,hold_stock
002315.SZ,2020-10-30,中国工商银行股份有限公司-富国创新科技混合型证券投资基金,1.72,601398.SH,hold_stock
002315.SZ,2020-10-30,招商银行股份有限公司-富国科创主题3年封闭运作灵活配置混合型证券投资基金,1.04,600036.SH,hold_stock
002362.SZ,2020-10-27,中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金,2.58,601398.SH,hold_stock
002384.SZ,2020-10-28,中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金,0.8,601398.SH,hold_stock
002384.SZ,2020-10-28,中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金,0.86,601398.SH,hold_stock
002384.SZ,2020-10-28,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,0.92,601628.SH,hold_stock
002384.SZ,2020-10-28,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.27,601988.SH,hold_stock
002396.SZ,2020-10-23,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.26,601988.SH,hold_stock
002396.SZ,2020-10-23,上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金,0.68,600000.SH,hold_stock
002405.SZ,2020-10-30,北京四维图新科技股份有限公司-第一期员工持股计划,0.99,002405.SZ,hold_stock
002439.SZ,2020-10-28,交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF),3.08,601328.SH,hold_stock
002439.SZ,2020-10-28,中国工商银行股份有限公司-万家自主创新混合型证券投资基金,0.95,601398.SH,hold_stock
002446.SZ,2020-10-29,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.39,601988.SH,hold_stock
002465.SZ,2020-10-30,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,2.37,601336.SH,hold_stock
002465.SZ,2020-10-30,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,1.21,601939.SH,hold_stock
002465.SZ,2020-10-30,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,1.05,601939.SH,hold_stock
002465.SZ,2020-10-30,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.98,601939.SH,hold_stock
002465.SZ,2020-10-30,中信证券-中信银行-中信证券卓越成长两年持有期混合型集合资产管理计划,0.8,600030.SH,hold_stock
002474.SZ,2020-10-26,福建榕基软件股份有限公司-第三期员工持股计划,1.26,002474.SZ,hold_stock
002474.SZ,2020-10-26,福建榕基软件股份有限公司-第二期员工持股计划,0.42,002474.SZ,hold_stock
002491.SZ,2020-10-29,通鼎互联信息股份有限公司-第二期员工持股计划,1.19,002491.SZ,hold_stock
002519.SZ,2020-10-20,江苏银河电子股份有限公司-第一期员工持股计划,3.52,002519.SZ,hold_stock
002528.SZ,2020-10-29,深圳英飞拓科技股份有限公司-第三期员工持股计划,2.67,002528.SZ,hold_stock
002544.SZ,2020-10-28,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.78,601939.SH,hold_stock
002544.SZ,2020-10-28,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,0.79,601939.SH,hold_stock
002547.SZ,2020-10-29,中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金,0.19,601398.SH,hold_stock
002583.SZ,2020-10-30,海能达通信股份有限公司-第三期员工持股计划,1.75,002583.SZ,hold_stock
002583.SZ,2020-10-30,中国农业银行股份有限公司-南方军工改革灵活配置混合型证券投资基金,0.49,601288.SH,hold_stock
002609.SZ,2020-10-31,招商银行股份有限公司-东方阿尔法精选灵活配置混合型发起式证券投资基金,1.62,600036.SH,hold_stock
002635.SZ,2020-10-30,招商银行股份有限公司-银华心怡灵活配置混合型证券投资基金,0.28,600036.SH,hold_stock
002635.SZ,2020-10-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.25,601288.SH,hold_stock
300010.SZ,2020-10-30,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2.94,600036.SH,hold_stock
300010.SZ,2020-10-30,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1.22,601988.SH,hold_stock
300017.SZ,2020-10-29,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,1.77,601166.SH,hold_stock
300017.SZ,2020-10-29,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,1.36,601166.SH,hold_stock
300033.SZ,2020-10-24,中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金,0.63,601398.SH,hold_stock
300036.SZ,2020-10-27,北京超图软件股份有限公司-第一期员工持股计划,1.49,300036.SZ,hold_stock
300044.SZ,2020-10-30,中国工商银行股份有限公司-泰康策略优选灵活配置混合型证券投资基金,0.72,601398.SH,hold_stock
300047.SZ,2020-10-28,中国建设银行股份有限公司-博时裕益灵活配置混合型证券投资基金,1.27,601939.SH,hold_stock
300050.SZ,2020-10-16,珠海世纪鼎利科技股份有限公司-第一期员工持股计划,1.38,300050.SZ,hold_stock
300059.SZ,2020-10-22,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.52,601939.SH,hold_stock
300059.SZ,2020-10-22,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.88,601939.SH,hold_stock
300065.SZ,2020-10-29,中国银行股份有限公司-华夏鼎沛债券型证券投资基金,3.48,601988.SH,hold_stock
300075.SZ,2020-10-28,中国工商银行股份有限公司-创金合信汇融一年定期开放混合型证券投资基金,0.5,601398.SH,hold_stock
300079.SZ,2020-10-22,中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金,0.35,601398.SH,hold_stock
300098.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.5,601988.SH,hold_stock
300101.SZ,2020-10-20,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.37,601988.SH,hold_stock
300113.SZ,2020-10-30,中国工商银行-易方达价值成长混合型证券投资基金,1.09,601398.SH,hold_stock
300113.SZ,2020-10-30,中国农业银行股份有限公司-华安智能生活混合型证券投资基金,2.01,601288.SH,hold_stock
300113.SZ,2020-10-30,中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金,2.92,601398.SH,hold_stock
300134.SZ,2020-10-28,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.85,601988.SH,hold_stock
300134.SZ,2020-10-28,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.26,601288.SH,hold_stock
