ts_code:ID(Company),name:string,area:string,industry:string,fullname:string,list_date:date,:LABEL
002428.SZ,云南锗业,云南,小金属,云南临沧鑫圆锗业股份有限公司,2010-06-08,Company
002429.SZ,兆驰股份,深圳,家用电器,深圳市兆驰股份有限公司,2010-06-10,Company
002430.SZ,杭氧股份,浙江,化工机械,杭州制氧机集团股份有限公司,2010-06-10,Company
002431.SZ,棕榈股份,广东,建筑工程,棕榈生态城镇发展股份有限公司,2010-06-10,Company
002432.SZ,九安医疗,天津,医疗保健,天津九安医疗电子股份有限公司,2010-06-10,Company
002433.SZ,太安堂,广东,中成药,广东太安堂药业股份有限公司,2010-06-18,Company
002434.SZ,万里扬,浙江,汽车配件,浙江万里扬股份有限公司,2010-06-18,Company
002435.SZ,长江健康,江苏,化学制药,长江润发健康产业股份有限公司,2010-06-18,Company
002436.SZ,兴森科技,深圳,元器件,深圳市兴森快捷电路科技股份有限公司,2010-06-18,Company
002437.SZ,誉衡药业,黑龙江,化学制药,哈尔滨誉衡药业股份有限公司,2010-06-23,Company
002438.SZ,江苏神通,江苏,机械基件,江苏神通阀门股份有限公司,2010-06-23,Company
002439.SZ,启明星辰,北京,软件服务,启明星辰信息技术集团股份有限公司,2010-06-23,Company
002440.SZ,闰土股份,浙江,染料涂料,浙江闰土股份有限公司,2010-07-06,Company
002441.SZ,众业达,广东,批发业,众业达电气股份有限公司,2010-07-06,Company
002442.SZ,龙星化工,河北,化工原料,龙星化工股份有限公司,2010-07-06,Company
002443.SZ,金洲管道,浙江,钢加工,浙江金洲管道科技股份有限公司,2010-07-06,Company
002444.SZ,巨星科技,浙江,轻工机械,杭州巨星科技股份有限公司,2010-07-13,Company
002445.SZ,*ST中南,江苏,影视音像,中南红文化集团股份有限公司,2010-07-13,Company
002446.SZ,盛路通信,广东,通信设备,广东盛路通信科技股份有限公司,2010-07-13,Company
002447.SZ,*ST晨鑫,辽宁,互联网,大连晨鑫网络科技股份有限公司,2010-07-13,Company
002448.SZ,中原内配,河南,汽车配件,中原内配集团股份有限公司,2010-07-16,Company
002449.SZ,国星光电,广东,半导体,佛山市国星光电股份有限公司,2010-07-16,Company
002450.SZ,*ST康得,江苏,化工原料,康得新复合材料集团股份有限公司,2010-07-16,Company
002451.SZ,摩恩电气,上海,电气设备,上海摩恩电气股份有限公司,2010-07-20,Company
002452.SZ,长高集团,湖南,电气设备,湖南长高高压开关集团股份公司,2010-07-20,Company
002453.SZ,华软科技,江苏,软件服务,金陵华软科技股份有限公司,2010-07-20,Company
002454.SZ,松芝股份,上海,汽车配件,上海加冷松芝汽车空调股份有限公司,2010-07-20,Company
002455.SZ,百川股份,江苏,化工原料,江苏百川高科新材料股份有限公司,2010-08-03,Company
002456.SZ,欧菲光,深圳,元器件,欧菲光集团股份有限公司,2010-08-03,Company
002457.SZ,青龙管业,宁夏,塑料,宁夏青龙管业集团股份有限公司,2010-08-03,Company
002458.SZ,益生股份,山东,农业综合,山东益生种畜禽股份有限公司,2010-08-10,Company
002459.SZ,晶澳科技,河北,电气设备,晶澳太阳能科技股份有限公司,2010-08-10,Company
002460.SZ,赣锋锂业,江西,小金属,江西赣锋锂业股份有限公司,2010-08-10,Company
002461.SZ,珠江啤酒,广东,啤酒,广州珠江啤酒股份有限公司,2010-08-18,Company
002462.SZ,嘉事堂,北京,医药商业,嘉事堂药业股份有限公司,2010-08-18,Company
002463.SZ,沪电股份,江苏,元器件,沪士电子股份有限公司,2010-08-18,Company
002464.SZ,众应互联,江苏,互联网,众应互联科技股份有限公司,2010-08-31,Company
002465.SZ,海格通信,广东,通信设备,广州海格通信集团股份有限公司,2010-08-31,Company
002466.SZ,天齐锂业,四川,小金属,天齐锂业股份有限公司,2010-08-31,Company
002467.SZ,二六三,北京,电信运营,二六三网络通信股份有限公司,2010-09-08,Company
